BackL	BackR	FrontL	FrontR	FrontC	FrontRR	BackC	FrontLL
8.0	5.0	49.0	55.0	35.0	25.0	22.0	24.0
8.0	5.0	49.0	55.0	35.0	25.0	22.0	24.0
8.0	5.0	49.0	55.0	35.0	25.0	22.0	24.0
7.0	5.0	40.0	39.0	27.0	18.0	22.0	18.0
7.0	5.0	40.0	39.0	27.0	18.0	22.0	18.0
7.0	5.0	40.0	39.0	27.0	18.0	22.0	18.0
7.0	5.0	40.0	39.0	27.0	18.0	22.0	18.0
7.0	5.0	40.0	39.0	27.0	18.0	22.0	18.0
7.0	5.0	40.0	39.0	27.0	18.0	22.0	18.0
7.0	5.0	40.0	39.0	27.0	18.0	22.0	18.0
7.0	5.0	40.0	39.0	27.0	18.0	22.0	18.0
7.0	5.0	40.0	39.0	27.0	18.0	22.0	18.0
7.0	5.0	40.0	39.0	27.0	18.0	22.0	18.0
9.0	7.0	26.0	24.0	11.0	9.0	28.0	11.0
9.0	7.0	26.0	24.0	11.0	9.0	28.0	11.0
9.0	7.0	26.0	24.0	11.0	9.0	28.0	11.0
9.0	7.0	26.0	24.0	11.0	9.0	28.0	11.0
9.0	7.0	26.0	24.0	11.0	9.0	28.0	11.0
9.0	7.0	26.0	24.0	11.0	9.0	28.0	11.0
9.0	7.0	26.0	24.0	11.0	9.0	28.0	11.0
9.0	7.0	26.0	24.0	11.0	9.0	28.0	11.0
9.0	7.0	26.0	24.0	11.0	9.0	28.0	11.0
9.0	7.0	26.0	24.0	11.0	9.0	28.0	11.0
9.0	7.0	26.0	24.0	11.0	9.0	28.0	11.0
9.0	7.0	26.0	24.0	11.0	9.0	28.0	11.0
9.0	7.0	26.0	24.0	11.0	9.0	28.0	11.0
9.0	7.0	26.0	24.0	11.0	9.0	28.0	11.0
13.0	20.0	21.0	19.0	6.0	7.0	44.0	9.0
13.0	20.0	21.0	19.0	6.0	7.0	44.0	9.0
13.0	20.0	21.0	19.0	6.0	7.0	44.0	9.0
13.0	20.0	21.0	19.0	6.0	7.0	44.0	9.0
13.0	20.0	21.0	19.0	6.0	7.0	44.0	9.0
15.0	35.0	20.0	19.0	5.0	8.0	60.0	8.0
15.0	35.0	20.0	19.0	5.0	8.0	60.0	8.0
15.0	35.0	20.0	19.0	5.0	8.0	60.0	8.0
15.0	35.0	20.0	19.0	5.0	8.0	60.0	8.0
17.0	57.0	19.0	19.0	5.0	7.0	73.0	8.0
19.0	61.0	19.0	19.0	5.0	8.0	91.0	7.0
19.0	61.0	19.0	19.0	5.0	8.0	91.0	7.0
